film,person
Amélie,Jean-Pierre Jeunet
Elling,Petter Naess
Lagaan,Ashutosh Gowariker
No Man's Land,Danis Tanovic
Son of the Bride,Juan José Campanella
El Crimen del Padre Amaro,Carlos Carrera
Hero,Zhang Yimou
The Man without a Past,Aki Kaurismäki
Nowhere in Africa,Caroline Link
Zus & Zo,Paula van der Oest
The Barbarian Invasions,Denys Arcand
Evil,Mikael Hafström
The Twilight Samurai,Yoji Yamada
Twin Sisters,Ben Sombogaart
Zelary,Ondrej Trojan
As It Is in Heaven,Kay Pollak
The Chorus (Les Choristes),Christophe Barratier
Downfall,Oliver Hirschbiegel
The Sea Inside,Alejandro Amenábar
Yesterday,Darrel Roodt
Don't Tell,Cristina Comencini
Joyeux Noël,Cristian Carion
Paradise Now,Hany Abu-Assad
Sophie Scholl - The Final Days,Marc Rothemund
Tsotsi,Gavin Hood
After the Wedding,Bart Freundlich
Days of Glory (Indigènes),Rachid Bouchareb
The Lives of Others,Florian Henckel von Donnersmarck
Pan's Labyrinth,Guillermo del Toro
Water,Deepa Mehta
Beaufort,Joseph Cedar
The Counterfeiters,Stefan Ruzowitzky
Katyn,Andrzej Wajda
Mongol,Serguéi Bodrov
12,Nikita Mijalkov
The Baader Meinhof Complex,Uli Edel
The Class,Laurent Cantet
Departures,Yojiro Takita
Revanche,Götz Spielmann
Waltz with Bashir,Ari Folman
Ajami,"Scandar Copti, Yaron Shani"
The Milk of Sorrow,Claudia Llosa
A Prophet,Jacques Audiard
The Secret in Their Eyes,Juan José Campanella
The White Ribbon,Michael Haneke
Biutiful,Alejandro G. Iñárritu
Dogtooth,Yorgos Lanthimos
In a Better World,Susanne Bier
Incendies,Denis Villeneuve
Outside the Law (Hors-la-loi),Rachid Bouchareb
Bullhead,Michaël R. Roskam
Footnote,Joseph Cedar
In Darkness,Agnieszka Holland
Monsieur Lazhar,Phillipe Falardeau
A Separation,Asghar Farhadi
Amour,Michael Haneke
Kon-Tiki,"Joachim Ronning, Espen Sandberg"
No,Pablo Larraín
A Royal Affair,Nikolaj Arcel
War Witch,Kim Nguyen
The Broken Circle Breakdown,Felix Van Groeningen
The Great Beauty,Paolo Sorrentino
The Hunt,Thomas Vinterberg
The Missing Picture,Rithy Panh
Omar,Hany Abu-Assad
Ida,Pawel Pawlikowski
Leviathan,Andréi Sviáguintsev
Tangerines,Zaza Urushadze
Timbuktu,Abderrahmane Sissako
Wild Tales,Damián Szifron
Embrace of the Serpent,Ciro Guerra
Mustang,Deniz Gamze Ergüven
Son of Saul,László Nemes
Theeb,Naji Abu Nowar
A War,Tobias Lindholm
Land of Mine,Martin Zandvliet
A Man Called Ove,Hannes Holm
The Salesman,Asghar Farhadi
Tanna,"Bentley Dean, Martin Butler"
Toni Erdmann,Maren Ade
A Fantastic Woman,Sebastián Lelio
The Insult,Ziad Doueiri
Loveless,Andréi Sviáguinstev
On Body and Soul,Ildikó Enyedi
The Square,Ruben Östlund
Capernaum,Nadine Labaki
Cold War,Pawel Pawlikowski
Never Look Away,Florian Henckel von Donnersmarck
Roma,Alfonso Cuarón
Shoplifters,Hirokazu Koreeda
Corpus Christi,Jan Komasa
Honeyland,Tamara Kotevska
Les Misérables,Ladj Ly
Pain and Glory,Pedro Almodóvar
Parasite,Bong Joon-ho
Another Round,Thomas Vinterberg
Better Days,Derek Tsang
Collective,Alexander Nanau
The Man Who Sold His Skin,Kaouther Ben Hania
"Quo Vadis, Aida?",Jasmila Zbanic
Drive My Car,Ryusuke Hamaguchi
Flee,Jonas Poher Rasmussen
The Hand of God,Paolo Sorrentino
Lunana: A Yak in the Classroom,Pawo Choyning Dorji
The Worst Person in the World,Joachim Trier
All Quiet on the Western Front,Edward Berger
"Argentina, 1985",Santiago Mitre
Close,Lukas Dhont
EO,Jerzy Skolimowski
The Quiet Girl,Colm Bairéad
Les Misérables (2019),Ladj Ly
